ID_PONTO	NOME_VIA	LONG	LAT
84	Avenida Domingos Ferreira - Herculano Bandeira	-34.89005	-8.10619
85	Avenida Domingos Ferreira - Herculano Bandeira	-34.89073	-8.10765
86	Avenida Domingos Ferreira - Herculano Bandeira	-34.89088	-8.10796
87	Avenida Domingos Ferreira - Herculano Bandeira	-34.89104	-8.10827
88	Avenida Domingos Ferreira - Herculano Bandeira	-34.89121	-8.10856
89	Avenida Domingos Ferreira - Herculano Bandeira	-34.89131	-8.10873
90	Avenida Domingos Ferreira - Herculano Bandeira	-34.8916	-8.1092
91	Avenida Domingos Ferreira - Herculano Bandeira	-34.89181	-8.10954
92	Avenida Domingos Ferreira - Herculano Bandeira	-34.89191	-8.10972
93	Avenida Domingos Ferreira - Herculano Bandeira	-34.89202	-8.10989
94	Avenida Domingos Ferreira - Herculano Bandeira	-34.89226	-8.11026
95	Avenida Domingos Ferreira - Herculano Bandeira	-34.89241	-8.11051
96	Avenida Domingos Ferreira - Herculano Bandeira	-34.89259	-8.1108
97	Avenida Domingos Ferreira - Herculano Bandeira	-34.89276	-8.1111
98	Avenida Domingos Ferreira - Herculano Bandeira	-34.89279	-8.11116
99	Avenida Domingos Ferreira - Herculano Bandeira	-34.89279	-8.11117
100	Avenida Domingos Ferreira - Herculano Bandeira	-34.89282	-8.11121
101	Avenida Domingos Ferreira - Herculano Bandeira	-34.89313	-8.11173
102	Avenida Domingos Ferreira - Herculano Bandeira	-34.89325	-8.11195
103	Avenida Domingos Ferreira - Herculano Bandeira	-34.89341	-8.1122
104	Avenida Domingos Ferreira - Herculano Bandeira	-34.89356	-8.11245
105	Avenida Domingos Ferreira - Herculano Bandeira	-34.89382	-8.11288
106	Avenida Domingos Ferreira - Herculano Bandeira	-34.89405	-8.11327
107	Avenida Domingos Ferreira - Herculano Bandeira	-34.89444	-8.11388
108	Avenida Domingos Ferreira - Herculano Bandeira	-34.89456	-8.11406
109	Avenida Domingos Ferreira - Herculano Bandeira	-34.89481	-8.11449
110	Avenida Domingos Ferreira - Herculano Bandeira	-34.89506	-8.11492
111	Avenida Domingos Ferreira - Herculano Bandeira	-34.89553	-8.11572
112	Avenida Domingos Ferreira - Herculano Bandeira	-34.89554	-8.11576
113	Avenida Domingos Ferreira - Herculano Bandeira	-34.89578	-8.11616
114	Avenida Domingos Ferreira - Herculano Bandeira	-34.89603	-8.11656
115	Avenida Domingos Ferreira - Herculano Bandeira	-34.89635	-8.11709
116	Avenida Domingos Ferreira - Herculano Bandeira	-34.89653	-8.11739
117	Avenida Domingos Ferreira - Herculano Bandeira	-34.89678	-8.1178
118	Avenida Domingos Ferreira - Herculano Bandeira	-34.89704	-8.11822
119	Avenida Domingos Ferreira - Herculano Bandeira	-34.8973	-8.11865
120	Avenida Domingos Ferreira - Herculano Bandeira	-34.89756	-8.11907
121	Avenida Domingos Ferreira - Herculano Bandeira	-34.89785	-8.11955
122	Avenida Domingos Ferreira - Herculano Bandeira	-34.89801	-8.11981
123	Avenida Domingos Ferreira - Herculano Bandeira	-34.89806	-8.11984
124	Avenida Domingos Ferreira - Herculano Bandeira	-34.89807	-8.11985
125	Avenida Domingos Ferreira - Herculano Bandeira	-34.89809	-8.11986
126	Avenida Domingos Ferreira - Herculano Bandeira	-34.89813	-8.11993
127	Avenida Domingos Ferreira - Herculano Bandeira	-34.89839	-8.12033
128	Avenida Domingos Ferreira - Herculano Bandeira	-34.89855	-8.1206
129	Avenida Domingos Ferreira - Herculano Bandeira	-34.89871	-8.12087
130	Avenida Domingos Ferreira - Herculano Bandeira	-34.89878	-8.12099
131	Avenida Domingos Ferreira - Herculano Bandeira	-34.8989	-8.12119
132	Avenida Domingos Ferreira - Herculano Bandeira	-34899	-8.12138
133	Avenida Domingos Ferreira - Herculano Bandeira	-34.8991	-8.12158
134	Avenida Domingos Ferreira - Herculano Bandeira	-34.89912	-8.12162
135	Avenida Domingos Ferreira - Herculano Bandeira	-34.89921	-8.12189
136	Avenida Domingos Ferreira - Herculano Bandeira	-34.89932	-8.12219
137	Avenida Domingos Ferreira - Herculano Bandeira	-34.89935	-8.1223
138	Avenida Domingos Ferreira - Herculano Bandeira	-34.89947	-8.12258
139	Avenida Domingos Ferreira - Herculano Bandeira	-34.89958	-8.12286
140	Avenida Domingos Ferreira - Herculano Bandeira	-34.89983	-8.12357
141	Avenida Domingos Ferreira - Herculano Bandeira	-34.90005	-8.12416
142	Avenida Domingos Ferreira - Herculano Bandeira	-34.90015	-8.12443
143	Avenida Domingos Ferreira - Herculano Bandeira	-34.90025	-8.12469
144	Avenida Domingos Ferreira - Herculano Bandeira	-34.90044	-8.12518
145	Avenida Domingos Ferreira - Herculano Bandeira	-34.90062	-8.12567
146	Avenida Domingos Ferreira - Herculano Bandeira	-34.90075	-8.12603
147	Avenida Domingos Ferreira - Herculano Bandeira	-34.90089	-8.12643
148	Avenida Domingos Ferreira - Herculano Bandeira	-34.90115	-8.12707
149	Avenida Domingos Ferreira - Herculano Bandeira	-34.9012	-8.1272
150	Avenida Domingos Ferreira - Herculano Bandeira	-34.9014	-8.12772
151	Avenida Domingos Ferreira - Herculano Bandeira	-34.90147	-8.12791
152	Avenida Domingos Ferreira - Herculano Bandeira	-34.90151	-8.12802
153	Avenida Domingos Ferreira - Herculano Bandeira	-34.90158	-8.12816
154	Avenida Domingos Ferreira - Herculano Bandeira	-34.90158	-8.12818
155	Avenida Domingos Ferreira - Herculano Bandeira	-34.90164	-8.12829
156	Avenida Domingos Ferreira - Herculano Bandeira	-34.9018	-8.12863
157	Avenida Domingos Ferreira - Herculano Bandeira	-34.90184	-8.12873
158	Avenida Domingos Ferreira - Herculano Bandeira	-34.90211	-8.12928
159	Avenida Domingos Ferreira - Herculano Bandeira	-34.90221	-8.12949
160	Avenida Domingos Ferreira - Herculano Bandeira	-34.90231	-8.12976
161	Avenida Domingos Ferreira - Herculano Bandeira	-34.90233	-8.12984
