NOME_VIA	LONG	LAT
Avenida Domingos Ferreira - Herculano Bandeira	-34.89241	-8.11051
Avenida Domingos Ferreira - Herculano Bandeira	-34.89259	-8.1108
Avenida Domingos Ferreira - Herculano Bandeira	-34.89276	-8.1111
Avenida Domingos Ferreira - Herculano Bandeira	-34.89279	-8.11116
Avenida Domingos Ferreira - Herculano Bandeira	-34.89279	-8.11117
Avenida Domingos Ferreira - Herculano Bandeira	-34.89282	-8.11121
Avenida Domingos Ferreira - Herculano Bandeira	-34.89313	-8.11173
Avenida Domingos Ferreira - Herculano Bandeira	-34.89325	-8.11195
Avenida Domingos Ferreira - Herculano Bandeira	-34.89341	-8.1122
Avenida Domingos Ferreira - Herculano Bandeira	-34.89356	-8.11245
Avenida Domingos Ferreira - Herculano Bandeira	-34.89382	-8.11288
Avenida Domingos Ferreira - Herculano Bandeira	-34.89405	-8.11327
Avenida Domingos Ferreira - Herculano Bandeira	-34.89444	-8.11388
Avenida Domingos Ferreira - Herculano Bandeira	-34.89456	-8.11406
Avenida Domingos Ferreira - Herculano Bandeira	-34.89481	-8.11449
Avenida Domingos Ferreira - Herculano Bandeira	-34.89506	-8.11492
Avenida Domingos Ferreira - Herculano Bandeira	-34.89553	-8.11572
Avenida Domingos Ferreira - Herculano Bandeira	-34.89554	-8.11576
Avenida Domingos Ferreira - Herculano Bandeira	-34.89578	-8.11616
Avenida Domingos Ferreira - Herculano Bandeira	-34.89603	-8.11656
Avenida Domingos Ferreira - Herculano Bandeira	-34.89635	-8.11709
Avenida Domingos Ferreira - Herculano Bandeira	-34.89653	-8.11739
Avenida Domingos Ferreira - Herculano Bandeira	-34.89678	-8.1178
Avenida Domingos Ferreira - Herculano Bandeira	-34.89704	-8.11822
Avenida Domingos Ferreira - Herculano Bandeira	-34.8973	-8.11865
Avenida Domingos Ferreira - Herculano Bandeira	-34.89756	-8.11907
Avenida Domingos Ferreira - Herculano Bandeira	-34.89785	-8.11955
Avenida Domingos Ferreira - Herculano Bandeira	-34.89801	-8.11981
Avenida Domingos Ferreira - Herculano Bandeira	-34.89806	-8.11984
Avenida Domingos Ferreira - Herculano Bandeira	-34.89807	-8.11985
Avenida Domingos Ferreira - Herculano Bandeira	-34.89809	-8.11986
Avenida Domingos Ferreira - Herculano Bandeira	-34.89813	-8.11993
Avenida Domingos Ferreira - Herculano Bandeira	-34.89839	-8.12033
Avenida Domingos Ferreira - Herculano Bandeira	-34.89855	-8.1206
Avenida Domingos Ferreira - Herculano Bandeira	-34.89871	-8.12087
Avenida Domingos Ferreira - Herculano Bandeira	-34.89878	-8.12099
Avenida Domingos Ferreira - Herculano Bandeira	-34.8989	-8.12119
Avenida Domingos Ferreira - Herculano Bandeira	-34899	-8.12138
Avenida Domingos Ferreira - Herculano Bandeira	-34.8991	-8.12158
Avenida Domingos Ferreira - Herculano Bandeira	-34.89912	-8.12162
Avenida Domingos Ferreira - Herculano Bandeira	-34.89921	-8.12189
Avenida Domingos Ferreira - Herculano Bandeira	-34.89932	-8.12219
Avenida Domingos Ferreira - Herculano Bandeira	-34.89935	-8.1223
Avenida Domingos Ferreira - Herculano Bandeira	-34.89947	-8.12258
Avenida Domingos Ferreira - Herculano Bandeira	-34.89958	-8.12286
Avenida Domingos Ferreira - Herculano Bandeira	-34.89983	-8.12357
Avenida Domingos Ferreira - Herculano Bandeira	-34.90005	-8.12416
Avenida Domingos Ferreira - Herculano Bandeira	-34.90015	-8.12443
Avenida Domingos Ferreira - Herculano Bandeira	-34.90025	-8.12469
Avenida Domingos Ferreira - Herculano Bandeira	-34.90044	-8.12518
Avenida Domingos Ferreira - Herculano Bandeira	-34.90062	-8.12567
Avenida Domingos Ferreira - Herculano Bandeira	-34.90075	-8.12603
Avenida Domingos Ferreira - Herculano Bandeira	-34.90089	-8.12643
Avenida Domingos Ferreira - Herculano Bandeira	-34.90115	-8.12707
Avenida Domingos Ferreira - Herculano Bandeira	-34.9012	-8.1272
Avenida Domingos Ferreira - Herculano Bandeira	-34.9014	-8.12772
Avenida Domingos Ferreira - Herculano Bandeira	-34.90147	-8.12791
Avenida Domingos Ferreira - Herculano Bandeira	-34.90151	-8.12802
Avenida Domingos Ferreira - Herculano Bandeira	-34.90158	-8.12816
Avenida Domingos Ferreira - Herculano Bandeira	-34.90158	-8.12818
Avenida Domingos Ferreira - Herculano Bandeira	-34.90164	-8.12829
Avenida Domingos Ferreira - Herculano Bandeira	-34.9018	-8.12863
Avenida Domingos Ferreira - Herculano Bandeira	-34.90184	-8.12873
Avenida Domingos Ferreira - Herculano Bandeira	-34.90211	-8.12928
Avenida Domingos Ferreira - Herculano Bandeira	-34.90221	-8.12949
Avenida Domingos Ferreira - Herculano Bandeira	-34.90231	-8.12976
Avenida Domingos Ferreira - Herculano Bandeira	-34.90233	-8.12984
Avenida Domingos Ferreira - Herculano Bandeira	-34.90239	-8.13
Avenida Domingos Ferreira - Herculano Bandeira	-34.90254	-8.13046
Avenida Domingos Ferreira - Herculano Bandeira	-34.90262	-8.13076
Avenida Domingos Ferreira - Herculano Bandeira	-34.90272	-8.13104
Avenida Domingos Ferreira - Herculano Bandeira	-34.90277	-8.1312
Avenida Domingos Ferreira - Herculano Bandeira	-34.90285	-8.13149
Avenida Domingos Ferreira - Herculano Bandeira	-34.90287	-8.13156
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9139	-8.11981
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91383	-8.11947
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91379	-8.11926
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91376	-8.11911
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91373	-8.11895
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91371	-8.1186
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91368	-8.1184
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91363	-8.11815
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9135	-8.11742
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91327	-8.11623
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91325	-8.11614
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91313	-8.11553
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91305	-8.11504
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91273	-8.11346
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91254	-8.11252
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91246	-8.1122
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91243	-8.11202
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91233	-8.11144
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91216	-8.11059
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91213	-8.11042
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91209	-8.11022
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91206	-8.1101
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91191	-8.10937
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91178	-8.10891
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9117	-8.10855
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91162	-8.10815
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91158	-8.10794
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91153	-8.10766
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91144	-8.10723
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91127	-8.10643
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91121	-8.10611
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9111	-8.10552
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91099	-8.10494
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91075	-8.10369
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91065	-8.10321
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91058	-8.10285
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91055	-8.10266
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91029	-8.10137
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91028	-8.10131
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91022	-8.10096
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91015	-8.10063
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91006	-8.0996
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91005	-8.09933
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91005	-8.09906
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91005	-8.09905
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91005	-8.09881
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91005	-8.09878
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91004	-8.09857
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.91003	-8.09847
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90999	-8.09821
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90994	-8.09794
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90991	-8.09782
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90986	-8.09755
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90979	-8.09718
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90964	-8.0965
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90963	-8.09643
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90961	-8.09636
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90944	-8.09563
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90927	-8.09491
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90849	-8.09131
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90841	-8.09113
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9084	-8.09104
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90838	-8.09098
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90837	-8.09091
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.9083	-8.09055
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90826	-8.09039
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90821	-8.09014
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90817	-8.08997
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90804	-8.08946
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90799	-8.08922
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90794	-8.08895
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90786	-8.0886
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90773	-8.08806
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90752	-8.08712
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90751	-8.08708
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90746	-8.08693
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90733	-8.08642
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90731	-8.08634
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90721	-8.08577
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90715	-8.08548
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90701	-8.08484
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90698	-8.08465
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90693	-8.08435
Avenida Marechal Mascarenhas de Moraes - Sentido Centro	-34.90688	-8.08411
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90698	-8.08406
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90698	-8.08408
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90705	-8.08433
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90711	-8.08457
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9072	-8.08489
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90726	-8.08521
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90733	-8.08549
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90735	-8.08556
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90739	-8.08574
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90751	-8.08633
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90753	-8.08641
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90763	-8.0869
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90765	-8.08697
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90767	-8.08707
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90788	-8.08804
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90799	-8.08856
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90811	-8.08904
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9082	-8.0894
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90823	-8.08957
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90831	-8.08992
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90835	-8.09008
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90839	-8.09023
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90843	-8.09037
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90853	-8.09082
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90859	-8.09109
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9086	-8.09117
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90863	-8.09129
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90866	-8.0914
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90867	-8.09145
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90906	-8.09322
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90923	-8.09399
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90934	-8.0945
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90957	-8.09548
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9098	-8.09646
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9099	-8.09691
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.90996	-8.09719
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91002	-8.09747
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91008	-8.09775
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91012	-8.09804
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91016	-8.09832
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91017	-8.09839
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91017	-8.09845
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91025	-8.09979
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91027	-8.10024
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91032	-8.10065
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91045	-8.10137
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91051	-8.10168
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91065	-8.10235
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91073	-8.10272
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91091	-8.10361
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91092	-8.10369
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91115	-8.10476
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91117	-8.10489
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91138	-8.10592
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91146	-8.10636
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91162	-8.1072
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91166	-8.10744
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91169	-8.10763
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91189	-8.1086
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91192	-8.1088
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91197	-8.10903
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91211	-8.10959
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91219	-8.11001
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91236	-8.11094
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91246	-8.11141
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91264	-8.1123
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91269	-8.11255
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91316	-8.11491
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91319	-8.11509
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9133	-8.11559
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91338	-8.11609
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.9134	-8.11623
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91364	-8.11739
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91378	-8.11813
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91384	-8.11859
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91393	-8.11904
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91396	-8.11922
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91399	-8.1194
Avenida Marechal Mascarenhas de Moraes - Sentido Suburbio	-34.91436	-8.12134
Rua Cosme Viana	-34.90975815107413	-8.062249407703696
Rua Cosme Viana	-34.90971988244532	-8.062424116777587
Rua Cosme Viana	-34.90968089328477	-8.062611880058132
Rua Cosme Viana	-34.90964893713108	-8.062799026195409
Rua Cosme Viana	-34.90959394609048	-8.063075298156491
Rua Cosme Viana	-34.90953704176472	-8.063360344535473
Rua Cosme Viana	-34.90946410811247	-8.06372805606593
Rua Cosme Viana	-34.909333482715354	-8.064379648948686
Rua Cosme Viana	-34.90931214928983	-8.064498179953974
Rua Cosme Viana	-34.909258136159934	-8.06477464218505
Rua Cosme Viana	-34.90920731110251	-8.065022455612917
Rua Cosme Viana	-34.90917012928367	-8.065262219113677
Rua Cosme Viana	-34.909074822683024	-8.065776905727265
Rua Cosme Viana	-34.90905610137665	-8.065952302894921
Rua Cosme Viana	-34.909052189605354	-8.066118281171004
Rua Cosme Viana	-34.90906376676557	-8.066253021041735
Rua Cosme Viana	-34.909082295675255	-8.066369807936484
Rua Cosme Viana	-34.90910709330165	-8.066489682225242
Rua Cosme Viana	-34.90913809748808	-8.066599398558935
Rua Cosme Viana	-34.90917291541884	-8.066688839075152
Rua Cosme Viana	-34.909237736443245	-8.066841251264108
Rua Cosme Viana	-34.90929231419166	-8.066976569779072
Rua Cosme Viana	-34.909385560311144	-8.067188844320915
Rua Cosme Viana	-34.909479665120955	-8.06741747706591
Rua Cosme Viana	-34.909560238700614	-8.067594748644318
Rua Cosme Viana	-34.90965187042608	-8.067796122416706
Rua Cosme Viana	-34.90980201482738	-8.068138250242189
Rua Cosme Viana	-34.9098194462144	-8.068229330039394
Rua Cosme Viana	-34.90984469371215	-8.068361668574942
Rua Cosme Viana	-34.909860597884034	-8.068418862259664
Rua Cosme Viana	-34.90988761170476	-8.068552750855769
Rua Cosme Viana	-34.909898126203714	-8.068669185431874
Rua Cosme Viana	-34.909898717146625	-8.06879501615395
Rua Cosme Viana	-34.90988231055904	-8.06896377967422
Rua Cosme Viana	-34.90985586728755	-8.069159470852776
Rua Cosme Viana	-34.909797362010615	-8.069519713241645
